2026-06-12T21:03:34.343Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T21:03:22.851Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T21:03:14.433Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T21:00:49.927Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T21:00:42.753Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T20:59:50.875Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T20:59:45.362Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T20:44:31.756Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-12T19:59:05.915Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-12T19:58:05.950Z | GET | 200 | GET | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/check-env
2026-06-12T19:57:52.298Z | POST | 400 | POST | 400 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-12T19:57:31.525Z | POST | 400 | POST | 400 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-12T19:53:58.367Z | POST | 500 | POST | 500 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-12T19:43:54.821Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T19:43:43.348Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T19:43:20.381Z | POST | 500 | POST | 500 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-12T19:43:04.086Z | POST | 500 | POST | 500 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-12T19:08:42.939Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T19:08:25.396Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T18:44:44.276Z | POST | 500 | POST | 500 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-12T17:32:32.599Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T17:32:19.982Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T15:59:14.444Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/process-audio
2026-06-12T15:59:14.174Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/process-audio
2026-06-12T15:59:13.705Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/process-audio
2026-06-12T15:59:13.449Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T15:59:13.095Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:50:06.599Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:50:06.279Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:59.560Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:59.059Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:52.456Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:52.076Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:45.614Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:45.082Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:38.788Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:38.152Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:31.424Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:31.095Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:24.580Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:24.137Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:17.528Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:17.087Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:10.421Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:10.060Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:49:03.249Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:48:59.820Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:48:59.289Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:48:49.514Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:48:49.068Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:48:42.551Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:48:42.073Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=3a0504f01b9053f7b1a9ee3b8d0bc31b
2026-06-12T13:48:34.398Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=generate
2026-06-12T13:48:33.151Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=generate
2026-06-12T13:48:32.235Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
